#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,polkit-gnome,"is an authentication agent."
,gnome-keyring,"takes care of the user's security credentials"
,ttf-inconsolata,"is the monospace font of YARBS."
,ttf-liberation,"- Red Hats Liberation fonts"
,noto-fonts,"Google Noto TTF fonts."
,noto-fonts-emoji,"provides unicode symbols and emojis."
,imv,is an image viewer for Wayland and X11.
,mpv,is simple video/gif player.
,playerctl,provides media control for some mediaplayers.
A,spotify,is a music app. Its not free.
,firefox,"doesn't need a description."
